SURVYEAR,LEAID,FIPST,STID,NAME,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,UNION,CONUM,CONAME,CSA,CBSA,METMIC,ULOCAL,CDCODE,LATCOD,LONCOD,BOUND,GSLO,GSHI
2013,4800024,48,161801,WACO CHARTER SCHOOL,2547548169,615 N 25TH ST,WACO,TX,76707,3443,615 N 25TH ST,WACO,TX,76707,3443,7,000,48309,MCLENNAN COUNTY,N,47380,1,00:00:00,4817,31.544359,-97.154725,1,PK,05
2013,4800025,48,178801,DR M L GARZA-GONZALEZ CHARTER SCHOOL,3618819988,4129 GREENWOOD DR,CORPUS CHRISTI,TX,78416,0759,4129 GREENWOOD DR,CORPUS CHRISTI,TX,78416,0759,7,000,48355,NUECES COUNTY,204,18580,1,00:00:00,4827,27.758,-97.433301,1,PK,12
2013,4800027,48,227801,AMERICAN YOUTHWORKS CHARTER SCHOOL,5127441900,1901 E BEN WHITE,AUSTIN,TX,78744,,1901 E BEN WHITE,AUSTIN,TX,78744,,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4835,30.21537,-97.747161,1,09,12
2013,4800029,48,057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,2147409991,601 N AKARD ST STE 203,DALLAS,TX,75201,,601 N AKARD ST STE 203,DALLAS,TX,75201,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.78506,-96.800621,1,KG,12
2013,4800030,48,057803,UPLIFT EDUCATION - NORTH HILLS PREPARATORY,9725010645,606 E ROYAL LN,IRVING,TX,75039,3503,606 E ROYAL,IRVING,TX,75039,3503,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4824,32.89478,-96.933161,1,KG,12
2013,4800031,48,101807,UNIVERSITY OF HOUSTON CHARTER SCHOOL,7137439107,3855 HOLMAN ST MELCHER GYM 100,HOUSTON,TX,77204,6019,3855 HOLMAN ST MELCHER GYM 100,HOUSTON,TX,77204,6019,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4818,29.724094,-95.348096,1,KG,05
2013,4800032,48,101810,ACADEMY OF ACCELERATED LEARNING INC,7137734766,6025 CHIMNEY ROCK,HOUSTON,TX,77081,,6711 BELLFORT ST,HOUSTON,TX,77087,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.66811,-95.311071,1,PK,05
2013,4800034,48,212801,CUMBERLAND ACADEMY,9035812890,1340 SHILOH RD,TYLER,TX,75703,,1340 SHILOH RD,TYLER,TX,75703,,7,000,48423,SMITH COUNTY,540,46340,1,00:00:00,4801,32.29619,-95.287021,1,KG,07
2013,4800035,48,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,2815309406,4215 H ST,HOUSTON,TX,77072,5380,4215 H ST,HOUSTON,TX,77072,5380,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.71167,-95.590721,1,PK,05
2013,4800036,48,243801,BRIGHT IDEAS CHARTER,9407671561,2507 CENTRAL FWY E,WICHITA FALLS,TX,76302,,2617 PLAZA PKWY UNIT 720,WICHITA FALLS,TX,76308,,7,000,48485,WICHITA COUNTY,N,48660,1,00:00:00,4813,33.867816,-98.527697,1,KG,12
2013,4800037,48,071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,9155849499,7310 BISHOP FLORES DR,EL PASO,TX,79912,1429,7310 BISHOP FLORES DR,EL PASO,TX,79912,1429,7,000,48141,EL PASO COUNTY,238,21340,1,00:00:00,4816,31.85736,-106.558891,1,KG,12
2013,4800041,48,057806,ADVANTAGE ACADEMY,2142765800,618 W WHEATLAND RD,DUNCANVILLE,TX,75116,,618 W WHEATLAND RD,DUNCANVILLE,TX,75116,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.64689,-96.921721,1,PK,12
2013,4800042,48,161802,RAPOPORT ACADEMY PUBLIC SCHOOL,2547548000,1020 ELM AVE BLDG 100,WACO,TX,76704,2237,2000 J J FLEWELLEN,WACO,TX,76704,2237,7,000,48309,MCLENNAN COUNTY,N,47380,1,00:00:00,4817,31.58201,-97.135061,1,PK,12
2013,4800043,48,101809,BAY AREA CHARTER INC,2813160001,P O BOX 2126,LEAGUE CITY,TX,77574,,218 E MAIN ST,LEAGUE CITY,TX,77573,,7,000,48167,GALVESTON COUNTY,288,26420,1,00:00:00,4814,29.50857,-95.094541,1,PK,12
2013,4800044,48,227803,WAYSIDE SCHOOLS,5122209183,6405 S IH 35,AUSTIN,TX,78744,,6405 S IH 35,AUSTIN,TX,78744,,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4835,30.164752,-97.786184,1,PK,10
2013,4800048,48,236801,RAVEN SCHOOL,9363447235,143 FOREST SERVICE RD 233,NEW WAVERLY,TX,77358,0515,143 FOREST SERVICE RD 233,NEW WAVERLY,TX,77358,0515,7,000,48471,WALKER COUNTY,288,26660,2,00:00:00,4808,30.533863,-95.553703,1,09,12
2013,4800049,48,101811,EXCEL ACADEMY,7132224340,1200 CONGRESS STE 6500,HOUSTON,TX,77002,2021,1200 CONGRESS STE 6500,HOUSTON,TX,77002,2021,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4818,29.761162,-95.358997,1,06,12
2013,4800050,48,015803,HIGGS CARTER KING GIFTED & TALENTED CHARTER ACAD,2107352341,511 FREDERICKSBURG RD,SAN ANTONIO,TX,78201,0854,511 FREDERICKSBURG RD,SAN ANTONIO,TX,78201,0854,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4835,29.44711,-98.509421,1,PK,12
2013,4800051,48,101812,HOUSTON CAN ACADEMY CHARTER SCHOOL,2149432244,325 W 12TH ST STE 200,DALLAS,TX,75208,,325 W 12TH ST STE 200,DALLAS,TX,75208,,7,N,48113,DALLAS COUNTY,206,19100,1,00:00:00,4833,32.74162,-96.827401,2,09,12
2013,4800053,48,015808,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,2106385000,10325 BANDERA RD,SAN ANTONIO,TX,78250,,10325 BANDERA RD,SAN ANTONIO,TX,78250,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4820,29.54027,-98.654081,1,01,12
2013,4800054,48,101813,KIPP INC CHARTER,8323280178,10711 KIPP WAY,HOUSTON,TX,77099,,10711 KIPP WAY,HOUSTON,TX,77099,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.66935,-95.566251,5,PK,12
2013,4800055,48,057807,LIFE SCHOOL,9722747900,950 S I 35 E,LANCASTER,TX,75146,,950 S I 35 E,LANCASTER,TX,75146,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.57704,-96.821431,1,KG,12
2013,4800056,48,084801,MAINLAND PREPARATORY ACADEMY,4099349100,319 NEWMAN RD,LAMARQUE,TX,77568,1428,319 NEWMAN RD,LAMARQUE,TX,77568,1428,7,000,48167,GALVESTON COUNTY,288,26420,1,00:00:00,4814,29.37454,-95.000191,1,PK,08
2013,4800058,48,227804,NYOS CHARTER SCHOOL,5128367620,12301 N LAMAR BLVD,AUSTIN,TX,78753,6507,8007 GESSNER DR,AUSTIN,TX,78753,6507,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4835,30.3436,-97.701971,1,PK,12
2013,4800059,48,015814,POSITIVE SOLUTIONS CHARTER SCHOOL,2102991025,1325 N FLORES STE 100,SAN ANTONIO,TX,78212,,1325 N FLORES STE 100,SAN ANTONIO,TX,78212,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4835,29.43872,-98.503391,1,09,12
2013,4800061,48,015805,NEW FRONTIERS CHARTER SCHOOL,2105333655,4018 S PRESA ST,SAN ANTONIO,TX,78223,,4018 S PRESA ST,SAN ANTONIO,TX,78223,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4835,29.38351,-98.477541,1,KG,08
2013,4800062,48,015806,SCHOOL OF EXCELLENCE IN EDUCATION,2104319881,1826 BASSE RD,SAN ANTONIO,TX,78213,4606,1826 BASSE RD,SAN ANTONIO,TX,78213,4606,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4820,29.48751,-98.514601,1,PK,12
2013,4800063,48,015807,SOUTHWEST PREPARATORY SCHOOL,2108298017,1258 AUSTIN HWY,SAN ANTONIO,TX,78209,4820,1258 AUSTIN HWY,SAN ANTONIO,TX,78209,4820,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4821,29.48904,-98.442431,1,PK,12
2013,4800064,48,227814,CHAPARRAL STAR ACADEMY,5129892672,14046 SUMMIT DR,AUSTIN,TX,78728,,14046 SUMMIT DR,AUSTIN,TX,78728,,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4817,30.43798,-97.691771,1,KG,12
2013,4800065,48,108802,SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC,9569693092,519 S TEXAS BLVD,WESLACO,TX,78596,0173,519 S TEXAS BLVD,WESLACO,TX,78596,0173,7,000,48215,HIDALGO COUNTY,365,32580,1,00:00:00,4834,26.156731,-97.99054,1,PK,08
2013,4800066,48,227805,TEXAS EMPOWERMENT ACADEMY,5124941076,3613 BLUESTEIN DR,AUSTIN,TX,78721,,3613 BLUESTEIN DR,AUSTIN,TX,78721,,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4825,30.27319,-97.672261,1,KG,09
2013,4800067,48,014802,TRANSFORMATIVE CHARTER ACADEMY,2546288989,802 N 8TH ST,KILLEEN,TX,76541,4818,802 N 8TH ST,KILLEEN,TX,76541,4818,7,000,48027,BELL COUNTY,N,28660,1,00:00:00,4831,31.12485,-97.724971,1,09,12
2013,4800068,48,220801,TREETOPS SCHOOL INTERNATIONAL,8172831771,12500 S PIPELINE RD,EULESS,TX,76040,5853,12500 S PIPELINE RD,EULESS,TX,76040,5853,7,000,48439,TARRANT COUNTY,206,19100,1,00:00:00,4824,32.82042,-97.094551,1,KG,12
2013,4800069,48,101840,TWO DIMENSIONS PREPARATORY ACADEMY,2812274700,12121 VETERANS MEMORIAL DR 9,HOUSTON,TX,77067,,12121 VETERANS MEMORIAL DR 10,HOUSTON,TX,77067,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4818,29.9622,-95.480161,1,PK,05
2013,4800070,48,057808,UNIVERSAL ACADEMY,9722551800,2616 N MACARTHUR BLVD,IRVING,TX,75062,5401,2616 N MACARTHUR BLVD,IRVING,TX,75062,5401,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4824,32.84266,-96.958111,1,PK,12
2013,4800071,48,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,5124714864,P O BOX 7667,AUSTIN,TX,78713,7667,8701 N MOPAC BLVD STE 350,AUSTIN,TX,78759,7667,7,000,48453,TRAVIS COUNTY,N,12420,1,00:00:00,4810,30.37461,-97.738691,1,KG,12
2013,4800072,48,057809,NOVA ACADEMY,9728087475,P O BOX 170127,DALLAS,TX,75217,8456,6459 SCYENE RD,DALLAS,TX,75227,8456,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.763527,-96.710596,1,PK,03
2013,4800073,48,101814,THE VARNETT PUBLIC SCHOOL,7137234699,P O BOX 1457,HOUSTON,TX,77251,1457,5025 S WILLOW DR,HOUSTON,TX,77035,1457,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.65627,-95.466621,1,PK,05
2013,4800074,48,003801,PINEYWOODS COMMUNITY ACADEMY,9366345515,602 S RAGUET,LUFKIN,TX,75904,,602 S RAGUET,LUFKIN,TX,75904,,7,000,48005,ANGELINA COUNTY,N,31260,2,00:00:00,4801,31.33266,-94.732201,1,PK,12
2013,4800075,48,014801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),8305576181,1263 TERMINAL LOOP,MCQUEENEY,TX,78123,7215,1001 E VETERANS MEMORIAL BLVD,KILLEEN,TX,76541,7215,7,000,48027,BELL COUNTY,N,28660,1,00:00:00,4831,31.1146,-97.723079,1,09,12
2013,4800076,48,014803,PRIORITY CHARTER SCHOOLS,2547788682,7177 AIRPORT RD,TEMPLE,TX,76502,,1400 E AVE B,TEMPLE,TX,76502,,7,000,48027,BELL COUNTY,N,28660,1,00:00:00,4831,31.090926,-97.328192,1,PK,12
2013,4800077,48,015809,BEXAR COUNTY ACADEMY,2104328600,20820 GREENFIELD RD,OAK PARK,MI,48237,,1485 HILLCREST DR UNIT A01,SAN ANTONIO,TX,78228,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4820,29.46825,-98.571811,1,PK,08
2013,4800080,48,015815,RADIANCE ACADEMY OF LEARNING,2106590329,12470 WOMAN HOLLERING RD,SCHERTZ,TX,78154,,12470 WOMAN HOLLERING RD,SCHERTZ,TX,78154,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4828,29.51045,-98.237371,1,PK,12
2013,4800082,48,015819,SHEKINAH RADIANCE ACADEMY,2106590329,12470 WOMAN HOLLERING RD,SCHERTZ,TX,78154,,12470 WOMAN HOLLERING RD,SCHERTZ,TX,78154,,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4828,29.51045,-98.237371,1,PK,12
2013,4800083,48,015950,REG 20 EDUCATION SERVICE CENTER,2103705200,1314 HINES AVE,SAN ANTONIO,TX,78208,1899,1314 HINES AVE,SAN ANTONIO,TX,78208,1899,4,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4821,29.44105,-98.445821,1,N,N
2013,4800086,48,021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,9792688884,410 BETHEL LN,BRYAN,TX,77802,,410 BETHEL LN,BRYAN,TX,77802,,7,000,48041,BRAZOS COUNTY,N,17780,1,00:00:00,4817,30.65805,-96.367711,1,PK,12
2013,4800089,48,057805,DALLAS COMMUNITY CHARTER SCHOOL,2148248950,924 WAYNE ST,DALLAS,TX,75223,1138,722 TENISON MEMORIAL DR,DALLAS,TX,75223,1138,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.80801,-96.737941,1,PK,03
2013,4800090,48,057810,ACADEMY OF DALLAS,2143719600,20820 GREENFIELD RD,OAK PARK,MI,48237,,1030 OAK PARK,DALLAS,TX,75232,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.688109,-96.838482,1,PK,08
2013,4800091,48,057811,CHILDREN FIRST ACADEMY OF DALLAS,2143712545,315 E WHEATLAND RD,DALLAS,TX,75241,1523,315 E WHEATLAND RD,DALLAS,TX,75241,1523,7,N,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.64977,-96.818491,6,PK,07
2013,4800092,48,057813,TRINITY BASIN PREPARATORY,2149469100,400 S ZANG STE 700,DALLAS,TX,75208,,400 S ZANG STE 700,DALLAS,TX,75208,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4833,32.74183,-96.823731,1,PK,08
2013,4800093,48,057814,ACADEMY FOR ACADEMIC EXCELLENCE,2146376136,1673 TERRE COLONY COURT,DALLAS,TX,75212,,1673 TERRE COLONY COURT,DALLAS,TX,75212,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4833,32.76849,-96.869841,1,05,12
2013,4800094,48,057815,FAITH FAMILY ACADEMY OF OAK CLIFF,9722244110,1620 FALCON DR,DESOTO,TX,75115,,1620 FALCON DR,DESOTO,TX,75115,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.62174,-96.851271,1,PK,12
2013,4800095,48,057816,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,9727094700,5701 RED BIRD CTR DR,DALLAS,TX,75237,,5701 RED BIRD CTR DR,DALLAS,TX,75237,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.67766,-96.881601,1,PK,08
2013,4800096,48,057817,FOCUS LEARNING ACADEMY,2144677751,2524 W LEDBETTER DR,DALLAS,TX,75233,,2524 W LEDBETTER DR,DALLAS,TX,75233,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.69033,-96.859591,1,PK,12
2013,4800098,48,057819,JEAN MASSIEU ACADEMY,8174600396,823 N CENTER ST,ARLINGTON,TX,76011,,823 N CENTER ST,ARLINGTON,TX,76011,,7,000,48439,TARRANT COUNTY,206,19100,1,00:00:00,4833,32.74737,-97.106111,1,PK,12
2013,4800102,48,057825,HONORS ACADEMY,2145216365,2718 HOLLANDALE LN,FARMERS BRANCH,TX,75234,,2718 HOLLANDALE LN,FARMERS BRANCH,TX,75234,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4824,32.94291,-96.889431,1,KG,12
2013,4800104,48,057950,REG 10 EDUCATION SERVICE CENTER,9723481700,400 E SPRING VLY RD,RICHARDSON,TX,75081,5101,400 E SPRING VLY RD,RICHARDSON,TX,75081,5101,4,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4832,32.93934,-96.729021,1,N,N
2013,4800105,48,070801,WAXAHACHIE FAITH FAMILY ACADEMY,9722244110,1620 FALCON DR,DESOTO,TX,75115,,1620 FALCON DR,DESOTO,TX,75115,,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4830,32.62174,-96.851271,1,PK,12
2013,4800106,48,071803,PASO DEL NORTE ACADEMY CHARTER DISTRICT,2102270295,P O BOX 15644,SAN ANTONIO,TX,78212,,2150 TRAWOOD STE A 160,EL PASO,TX,79936,,7,000,48141,EL PASO COUNTY,238,21340,1,00:00:00,4816,31.760964,-106.298409,1,09,12
2013,4800107,48,071950,REG 19 EDUCATION SERVICE CENTER,9157801919,P O BOX 971127,EL PASO,TX,79997,1127,6611 BOEING DR,EL PASO,TX,79925,1127,4,000,48141,EL PASO COUNTY,238,21340,1,00:00:00,4816,31.791852,-106.397791,1,N,N
2013,4800108,48,084802,ODYSSEY ACADEMY INC,4097509289,2412 61ST ST,GALVESTON,TX,77551,1430,2412 61ST ST,GALVESTON,TX,77551,1430,7,000,48167,GALVESTON COUNTY,288,26420,1,00:00:00,4814,29.275495,-94.830925,1,PK,09
2013,4800109,48,092801,EAST TEXAS CHARTER SCHOOLS,9037539400,2402 ALPINE RD,LONGVIEW,TX,75601,,2402 ALPINE RD,LONGVIEW,TX,75601,,7,000,48183,GREGG COUNTY,346,30980,1,00:00:00,4801,32.52512,-94.702661,1,09,12
2013,4800110,48,092950,REG 7 EDUCATION SERVICE CENTER,9039886700,1909 N LONGVIEW ST,KILGORE,TX,75662,6827,1909 N LONGVIEW ST,KILGORE,TX,75662,6827,4,000,48183,GREGG COUNTY,346,30980,1,00:00:00,4801,32.400686,-94.862986,1,N,N
2013,4800111,48,101817,ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER,7137799990,7115 CLAREWOOD,HOUSTON,TX,77036,,7115 CLAREWOOD,HOUSTON,TX,77036,,7,N,48201,HARRIS COUNTY,288,26420,1,00:00:00,4807,29.70821,-95.511011,2,N,N
2013,4800113,48,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,7133499945,5500 EL CAMINO DEL REY,HOUSTON,TX,77081,,5500 EL CAMINO DEL REY,HOUSTON,TX,77081,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4807,29.72361,-95.478901,1,PK,08
2013,4800115,48,101821,HOUSTON HEIGHTS HIGH SCHOOL,7138689797,1125 LAWRENCE DR,HOUSTON,TX,77008,,1125 LAWRENCE DR,HOUSTON,TX,77008,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4802,29.79167,-95.407301,1,09,12
2013,4800116,48,101822,JAMIE'S HOUSE CHARTER SCHOOL,2818669777,P O BOX 711222,HOUSTON,TX,77271,,17406 BAMWOOD,HOUSTON,TX,77090,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4818,30.02125,-95.452901,1,KG,12
2013,4800118,48,101828,HOUSTON GATEWAY ACADEMY INC,7136448292,3400 EVERGREEN,HOUSTON,TX,77087,,3400 EVERGREEN DR,HOUSTON,TX,77087,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4829,29.69428,-95.294041,1,PK,12
2013,4800119,48,101829,HOUSTON HEIGHTS LEARNING ACADEMY INC,7138699453,902 W 8TH ST,HOUSTON,TX,77007,,902 W 8TH ST,HOUSTON,TX,77007,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4818,29.78464,-95.406391,1,PK,05
2013,4800121,48,101833,LA AMISTAD LOVE & LEARNING ACADEMY,2819889231,10860 ROCKLEY RD,HOUSTON,TX,77099,,10860 ROCKLEY RD,HOUSTON,TX,77099,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.6658,-95.570951,1,PK,05
2013,4800124,48,101837,CALVIN NELMS CHARTER SCHOOLS,2813988031,20625 CLAY RD,KATY,TX,77449,,20625 CLAY RD,KATY,TX,77449,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4810,29.82845,-95.734111,1,KG,12
2013,4800125,48,101838,SOUTHWEST SCHOOL,7137846345,3333 BERING DR STE 200,HOUSTON,TX,77057,,3333 BERING DR,HOUSTON,TX,77057,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4807,29.73057,-95.480041,1,PK,12
2013,4800127,48,101842,COMQUEST ACADEMY,2815160611,207 N PEACH ST,TOMBALL,TX,77375,,207 N PEACH ST,TOMBALL,TX,77375,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4810,30.10019,-95.612911,1,PK,12
