type,id,name,campus,district,county,overall,overall_score,1_achievement,1_achievement_score,2_progress,2_progress_score,3_gaps,3_gaps_score,student_pop,region,perc_econ_disadvantage,type_detail,absolute_url
campus,3903044.0,LUFKIN MIDDLE,LUFKIN MIDDLE,LUFKIN ISD,Angelina,B,82,C,74,B,85,C,74,"1,596",REGION 07: KILGORE,87.1%,Middle School,/districts/lufkin-isd/lufkin-middle-school/
campus,3903120.0,ANDERSON EL,ANDERSON EL,LUFKIN ISD,Angelina,A,91,C,75,A,92,B,89,232,REGION 07: KILGORE,92.7%,Elementary,/districts/lufkin-isd/anderson-elementary-school/
campus,3903121.0,BRANDON EL,BRANDON EL,LUFKIN ISD,Angelina,B,84,B,82,B,87,C,77,379,REGION 07: KILGORE,70.2%,Elementary,/districts/lufkin-isd/brandon-elementary-school/
campus,3903122.0,BROOKHOLLOW EL,BROOKHOLLOW EL,LUFKIN ISD,Angelina,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,58,C,70,Not Rated: Senate Bill 1365,64,272,REGION 07: KILGORE,95.6%,Elementary,/districts/lufkin-isd/brookhollow-elementary-school/
campus,3903123.0,COSTON EL,COSTON EL,LUFKIN ISD,Angelina,B,80,Not Rated: Senate Bill 1365,69,B,83,C,73,198,REGION 07: KILGORE,95.5%,Elementary,/districts/lufkin-isd/coston-elementary-school/
campus,3903124.0,DUNBAR PRI,DUNBAR PRI,LUFKIN ISD,Angelina,B,84,Not Rated,.,Not Rated,.,Not Rated,.,405,REGION 07: KILGORE,75.8%,Elementary,/districts/lufkin-isd/dunbar-primary-school/
campus,3903125.0,GARRETT PRI,GARRETT PRI,LUFKIN ISD,Angelina,B,87,Not Rated,.,Not Rated,.,Not Rated,.,254,REGION 07: KILGORE,99.6%,Elementary,/districts/lufkin-isd/garrett-primary-school/
campus,3903126.0,HACKNEY PRI,HACKNEY PRI,LUFKIN ISD,Angelina,B,87,Not Rated,.,Not Rated,.,Not Rated,.,130,REGION 07: KILGORE,100.0%,Elementary,/districts/lufkin-isd/hackney-primary-school/
campus,3903127.0,HERTY PRI,HERTY PRI,LUFKIN ISD,Angelina,B,80,Not Rated,.,Not Rated,.,Not Rated,.,254,REGION 07: KILGORE,94.9%,Elementary,/districts/lufkin-isd/herty-primary-school/
campus,3903128.0,KURTH PRI,KURTH PRI,LUFKIN ISD,Angelina,A,91,Not Rated,.,Not Rated,.,Not Rated,.,244,REGION 07: KILGORE,90.6%,Elementary,/districts/lufkin-isd/kurth-primary-school/
campus,3903129.0,SLACK EL,SLACK EL,LUFKIN ISD,Angelina,B,85,C,74,B,88,C,78,503,REGION 07: KILGORE,85.3%,Elementary,/districts/lufkin-isd/slack-elementary-school/
campus,3903130.0,TROUT PRI,TROUT PRI,LUFKIN ISD,Angelina,Not Rated: Senate Bill 1365,68,Not Rated,.,Not Rated,.,Not Rated,.,274,REGION 07: KILGORE,94.9%,Elementary,/districts/lufkin-isd/trout-primary-school/
campus,3903131.0,BURLEY PRI,BURLEY PRI,LUFKIN ISD,Angelina,B,85,Not Rated,.,Not Rated,.,Not Rated,.,372,REGION 07: KILGORE,88.7%,Elementary,/districts/lufkin-isd/burley-primary-school/
campus,3903141.0,SPECIAL SERVICES,SPECIAL SERVICES,LUFKIN ISD,Angelina,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 07: KILGORE,0.0%,Elementary,/districts/lufkin-isd/special-services/
campus,3903201.0,JUVENILE DETENT CTR,JUVENILE DETENT CTR,LUFKIN ISD,Angelina,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,9,REGION 07: KILGORE,100.0%,High School,/districts/lufkin-isd/juvenile-detention-center/
district,3904.0,HUNTINGTON ISD,,HUNTINGTON ISD,Angelina,B,88,B,87,A,90,B,83,"1,612",REGION 07: KILGORE,58.6%,District,/districts/huntington-isd/
campus,3904001.0,HUNTINGTON H S,HUNTINGTON H S,HUNTINGTON ISD,Angelina,B,85,B,87,B,87,C,79,479,REGION 07: KILGORE,50.5%,High School,/districts/huntington-isd/huntington-high-school/
campus,3904005.0,PRIDE ALTER SCH,PRIDE ALTER SCH,HUNTINGTON ISD,Angelina,B,80,B,80,Not Rated,.,Not Rated,.,10,REGION 07: KILGORE,80.0%,High School,/districts/huntington-isd/pride-alter-sch/
campus,3904041.0,HUNTINGTON MIDDLE,HUNTINGTON MIDDLE,HUNTINGTON ISD,Angelina,B,83,B,81,B,86,C,77,376,REGION 07: KILGORE,62.5%,Middle School,/districts/huntington-isd/huntington-middle-school/
campus,3904101.0,HUNTINGTON EL,HUNTINGTON EL,HUNTINGTON ISD,Angelina,C,79,C,77,B,81,C,74,507,REGION 07: KILGORE,63.1%,Elementary,/districts/huntington-isd/huntington-elementary-school/
campus,3904102.0,HUNTINGTON INT,HUNTINGTON INT,HUNTINGTON ISD,Angelina,C,74,C,75,C,75,C,71,240,REGION 07: KILGORE,57.9%,Elementary,/districts/huntington-isd/huntington-intermediate-school/
district,3905.0,DIBOLL ISD,,DIBOLL ISD,Angelina,A,90,B,89,A,92,B,84,"1,744",REGION 07: KILGORE,70.6%,District,/districts/diboll-isd/
campus,3905001.0,DIBOLL H S,DIBOLL H S,DIBOLL ISD,Angelina,B,88,A,90,A,91,B,82,521,REGION 07: KILGORE,64.1%,High School,/districts/diboll-isd/diboll-high-school/
campus,3905004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,DIBOLL ISD,Angelina,C,74,C,74,Not Rated,.,Not Rated,.,12,REGION 07: KILGORE,58.3%,High School,/districts/diboll-isd/stubblefield-learning-center/
campus,3905041.0,DIBOLL J H,DIBOLL J H,DIBOLL ISD,Angelina,C,76,C,73,C,77,C,73,384,REGION 07: KILGORE,66.7%,Middle School,/districts/diboll-isd/diboll-junior-high/
campus,3905101.0,H G TEMPLE EL,H G TEMPLE EL,DIBOLL ISD,Angelina,B,82,Not Rated,.,Not Rated,.,Not Rated,.,325,REGION 07: KILGORE,77.2%,Elementary,/districts/diboll-isd/h-g-temple-elementary-school/
campus,3905102.0,DIBOLL PRI,DIBOLL PRI,DIBOLL ISD,Angelina,B,82,Not Rated,.,Not Rated,.,Not Rated,.,148,REGION 07: KILGORE,79.7%,Elementary,/districts/diboll-isd/diboll-primary-school/
campus,3905103.0,H G TEMPLE INT,H G TEMPLE INT,DIBOLL ISD,Angelina,B,82,C,77,B,84,C,76,354,REGION 07: KILGORE,75.1%,Elementary,/districts/diboll-isd/h-g-temple-intermediate-school/
district,3906.0,ZAVALLA ISD,,ZAVALLA ISD,Angelina,B,88,B,86,A,92,C,79,300,REGION 07: KILGORE,68.7%,District,/districts/zavalla-isd/
campus,3906001.0,ZAVALLA H S,ZAVALLA H S,ZAVALLA ISD,Angelina,B,87,B,87,A,90,B,81,147,REGION 07: KILGORE,59.9%,Elem/Secondary,/districts/zavalla-isd/zavalla-high-school/
campus,3906101.0,ZAVALLA EL,ZAVALLA EL,ZAVALLA ISD,Angelina,C,77,C,73,B,80,Not Rated: Senate Bill 1365,69,153,REGION 07: KILGORE,77.1%,Elementary,/districts/zavalla-isd/zavalla-elementary-school/
district,3907.0,CENTRAL ISD,,CENTRAL ISD,Angelina,A,90,B,89,A,91,B,86,"1,451",REGION 07: KILGORE,56.4%,District,/districts/central-isd/
campus,3907001.0,CENTRAL H S,CENTRAL H S,CENTRAL ISD,Angelina,B,85,B,88,B,87,C,78,379,REGION 07: KILGORE,50.9%,High School,/districts/central-isd/central-high-school/
campus,3907004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,CENTRAL ISD,Angelina,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,8,REGION 07: KILGORE,75.0%,High School,/districts/central-isd/stubblefield-learning-center/
campus,3907041.0,CENTRAL J H,CENTRAL J H,CENTRAL ISD,Angelina,B,81,B,80,B,82,C,78,437,REGION 07: KILGORE,56.8%,Middle School,/districts/central-isd/central-junior-high/
campus,3907102.0,CENTRAL EL,CENTRAL EL,CENTRAL ISD,Angelina,B,84,C,76,B,86,C,79,627,REGION 07: KILGORE,59.3%,Elementary,/districts/central-isd/central-elementary-school/
district,4901.0,ARANSAS COUNTY ISD,,ARANSAS COUNTY ISD,Aransas,B,84,B,81,B,89,C,72,"3,005",REGION 02: CORPUS CHRISTI,66.9%,District,/districts/aransas-county-isd/
campus,4901001.0,ROCKPORT-FULTON H S,ROCKPORT-FULTON H S,ARANSAS COUNTY ISD,Aransas,B,81,B,82,B,85,C,72,930,REGION 02: CORPUS CHRISTI,59.0%,High School,/districts/aransas-county-isd/rockport-fulton-high-school/
campus,4901041.0,ROCKPORT-FULTON MIDDLE,ROCKPORT-FULTON MIDDLE,ARANSAS COUNTY ISD,Aransas,C,77,C,71,C,79,C,73,723,REGION 02: CORPUS CHRISTI,59.5%,Middle School,/districts/aransas-county-isd/rockport-fulton-middle-school/
campus,4901101.0,FULTON LEARNING CENTER,FULTON LEARNING CENTER,ARANSAS COUNTY ISD,Aransas,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,63,639,REGION 02: CORPUS CHRISTI,73.4%,Elementary,/districts/aransas-county-isd/fulton-learning-center/
campus,4901103.0,LIVE OAK LEARNING CENTER,LIVE OAK LEARNING CENTER,ARANSAS COUNTY ISD,Aransas,Not Rated: Senate Bill 1365,67,Not Rated,.,Not Rated,.,Not Rated,.,713,REGION 02: CORPUS CHRISTI,78.7%,Elementary,/districts/aransas-county-isd/live-oak-learning-center/
district,5901.0,ARCHER CITY ISD,,ARCHER CITY ISD,Archer,A,91,A,92,A,90,B,88,506,REGION 09: WICHITA FALLS,41.1%,District,/districts/archer-city-isd/
campus,5901001.0,ARCHER CITY H S,ARCHER CITY H S,ARCHER CITY ISD,Archer,A,90,A,92,B,82,B,85,229,REGION 09: WICHITA FALLS,38.0%,High School,/districts/archer-city-isd/archer-city-high-school/
campus,5901101.0,ARCHER CITY EL,ARCHER CITY EL,ARCHER CITY ISD,Archer,A,96,A,94,A,93,A,100,277,REGION 09: WICHITA FALLS,43.7%,Elementary,/districts/archer-city-isd/archer-city-elementary-school/
district,5902.0,HOLLIDAY ISD,,HOLLIDAY ISD,Archer,A,94,A,94,A,90,A,94,"1,126",REGION 09: WICHITA FALLS,24.7%,District,/districts/holliday-isd/
campus,5902001.0,HOLLIDAY H S,HOLLIDAY H S,HOLLIDAY ISD,Archer,A,96,A,94,B,80,A,100,340,REGION 09: WICHITA FALLS,18.8%,High School,/districts/holliday-isd/holliday-high-school/
campus,5902041.0,HOLLIDAY MIDDLE,HOLLIDAY MIDDLE,HOLLIDAY ISD,Archer,B,88,A,90,B,86,B,84,276,REGION 09: WICHITA FALLS,21.7%,Middle School,/districts/holliday-isd/holliday-middle-school/
campus,5902101.0,HOLLIDAY EL,HOLLIDAY EL,HOLLIDAY ISD,Archer,A,94,B,88,A,92,A,98,510,REGION 09: WICHITA FALLS,30.2%,Elementary,/districts/holliday-isd/holliday-elementary-school/
district,5904.0,WINDTHORST ISD,,WINDTHORST ISD,Archer,A,95,A,93,A,91,A,100,530,REGION 09: WICHITA FALLS,30.0%,District,/districts/windthorst-isd/
campus,5904001.0,WINDTHORST H S,WINDTHORST H S,WINDTHORST ISD,Archer,A,94,A,92,B,85,A,100,135,REGION 09: WICHITA FALLS,30.4%,High School,/districts/windthorst-isd/windthorst-high-school/
campus,5904041.0,WINDTHORST JH,WINDTHORST JH,WINDTHORST ISD,Archer,B,89,A,90,B,81,B,87,115,REGION 09: WICHITA FALLS,31.3%,Middle School,/districts/windthorst-isd/windthorst-jh/
campus,5904101.0,WINDTHORST EL,WINDTHORST EL,WINDTHORST ISD,Archer,A,96,A,94,A,94,A,100,280,REGION 09: WICHITA FALLS,29.3%,Elementary,/districts/windthorst-isd/windthorst-elementary-school/
district,6902.0,CLAUDE ISD,,CLAUDE ISD,Armstrong,A,94,A,91,B,85,A,100,307,REGION 16: AMARILLO,36.2%,District,/districts/claude-isd/
campus,6902001.0,CLAUDE SCHOOLS,CLAUDE SCHOOLS,CLAUDE ISD,Armstrong,A,94,A,91,B,85,A,100,307,REGION 16: AMARILLO,36.2%,Elem/Secondary,/districts/claude-isd/claude-schools/
district,7901.0,CHARLOTTE ISD,,CHARLOTTE ISD,Atascosa,B,83,B,84,B,86,C,77,397,REGION 20: SAN ANTONIO,68.5%,District,/districts/charlotte-isd/
campus,7901001.0,CHARLOTTE H S,CHARLOTTE H S,CHARLOTTE ISD,Atascosa,B,87,B,87,B,85,B,87,126,REGION 20: SAN ANTONIO,67.5%,High School,/districts/charlotte-isd/charlotte-high-school/
campus,7901041.0,CHARLOTTE MIDDLE,CHARLOTTE MIDDLE,CHARLOTTE ISD,Atascosa,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,56,C,70,101,REGION 20: SAN ANTONIO,72.3%,Middle School,/districts/charlotte-isd/charlotte-middle-school/
campus,7901101.0,CHARLOTTE EL,CHARLOTTE EL,CHARLOTTE ISD,Atascosa,A,93,C,77,A,95,B,89,170,REGION 20: SAN ANTONIO,67.1%,Elementary,/districts/charlotte-isd/charlotte-elementary-school/
district,7902.0,JOURDANTON ISD,,JOURDANTON ISD,Atascosa,A,90,B,82,A,91,B,86,"1,569",REGION 20: SAN ANTONIO,55.3%,District,/districts/jourdanton-isd/
campus,7902001.0,JOURDANTON H S,JOURDANTON H S,JOURDANTON ISD,Atascosa,B,86,B,86,B,87,B,83,437,REGION 20: SAN ANTONIO,46.7%,High School,/districts/jourdanton-isd/jourdanton-high-school/
campus,7902004.0,THE LARRY BROWN SCHOOL,THE LARRY BROWN SCHOOL,JOURDANTON ISD,Atascosa,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 20: SAN ANTONIO,0.0%,High School,
campus,7902005.0,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,JOURDANTON ISD,Atascosa,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,5,REGION 20: SAN ANTONIO,20.0%,High School,/districts/jourdanton-isd/atascosa-county-juvenile-justice-center/
campus,7902006.0,JOURDANTON DAEP,JOURDANTON DAEP,JOURDANTON ISD,Atascosa,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,10,REGION 20: SAN ANTONIO,50.0%,Elem/Secondary,/districts/jourdanton-isd/jourdanton-daep/
campus,7902041.0,JOURDANTON J H,JOURDANTON J H,JOURDANTON ISD,Atascosa,A,93,B,85,A,91,A,98,379,REGION 20: SAN ANTONIO,56.2%,Middle School,/districts/jourdanton-isd/jourdanton-junior-high/
campus,7902101.0,JOURDANTON EL,JOURDANTON EL,JOURDANTON ISD,Atascosa,C,79,C,78,B,80,C,76,435,REGION 20: SAN ANTONIO,54.9%,Elementary,/districts/jourdanton-isd/jourdanton-elementary-school/
campus,7902102.0,JOURDANTON ECC,JOURDANTON ECC,JOURDANTON ISD,Atascosa,C,79,Not Rated,.,Not Rated,.,Not Rated,.,302,REGION 20: SAN ANTONIO,68.2%,Elementary,
district,7904.0,LYTLE ISD,,LYTLE ISD,Atascosa,B,86,C,78,A,91,C,74,"1,740",REGION 20: SAN ANTONIO,74.0%,District,/districts/lytle-isd/
campus,7904001.0,LYTLE H S,LYTLE H S,LYTLE ISD,Atascosa,B,83,B,80,B,87,C,72,486,REGION 20: SAN ANTONIO,69.5%,High School,/districts/lytle-isd/lytle-high-school/
campus,7904002.0,LYTLE DAEP,LYTLE DAEP,LYTLE ISD,Atascosa,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,6,REGION 20: SAN ANTONIO,83.3%,Elem/Secondary,/districts/lytle-isd/lytle-daep/
campus,7904041.0,LYTLE J H,LYTLE J H,LYTLE ISD,Atascosa,C,75,Not Rated: Senate Bill 1365,67,C,77,C,71,395,REGION 20: SAN ANTONIO,73.9%,Middle School,/districts/lytle-isd/lytle-junior-high/
campus,7904101.0,LYTLE EL,LYTLE EL,LYTLE ISD,Atascosa,C,72,Not Rated: Senate Bill 1365,57,C,74,Not Rated: Senate Bill 1365,66,505,REGION 20: SAN ANTONIO,75.4%,Elementary,/districts/lytle-isd/lytle-elementary-school/
